"(PDH-CSV 4.0) (India Standard Time)(-330)","\\WINDOWS10-SAMP\Processor(_Total)\% Processor Time","\\WINDOWS10-SAMP\System\Threads","\\WINDOWS10-SAMP\System\Context Switches/sec"
"08/07/2024 19:42:34.066"," ","1859"," "
"08/07/2024 19:42:35.319","56.6838228794675274","1853","9063.896061313987957"
"08/07/2024 19:42:36.632","63.68580583925764671","1854","5996.8826246975213508"
"08/07/2024 19:42:37.991","53.16778591414870192","1866","10474.747469815276418"
"08/07/2024 19:42:39.279","47.656738537125107769","1876","7555.2447704922124103"
"08/07/2024 19:42:40.590","72.734118253747865879","1897","6683.0173823481309228"
"08/07/2024 19:42:41.920","65.804540437795083108","1903","9162.2118505979615293"
"08/07/2024 19:42:43.241","57.704460994690663256","1906","9486.788306704007482"
"08/07/2024 19:42:44.558","62.485287826409454226","1910","10553.453557401224316"
"08/07/2024 19:42:45.913","63.389524461542180234","1910","8094.4903045067831044"
"08/07/2024 19:42:47.215","64.135122696676177156","1894","5156.3859951093563723"
"08/07/2024 19:42:48.701","76.733664164958611309","1908","5558.2190792117216915"
"08/07/2024 19:42:50.091","83.147930004967719242","1873","3804.1969859101518523"
"08/07/2024 19:42:51.524","73.271535435913207834","1873","3045.0897927092564714"
"08/07/2024 19:42:52.998","58.404583408759691565","1878","6146.5641793683362266"
"08/07/2024 19:42:54.444","60.026589707523591244","1865","9588.3161620774135372"
"08/07/2024 19:42:55.879","57.53298471877374709","1873","8882.2514398808962142"
"08/07/2024 19:42:57.372","60.610746208815832858","1876","8746.3468002693989547"
"08/07/2024 19:42:58.816","64.693671015127335977","1875","9914.4548711489569541"
"08/07/2024 19:43:00.268","55.078774555589923523","1869","10282.452364889026285"
"08/07/2024 19:43:01.716","51.576462703922054231","1871","8765.9516098120238894"
"08/07/2024 19:43:03.087","48.150876564243617395","1871","7138.6580988229779905"
"08/07/2024 19:43:04.428","56.155297302638814472","1880","5203.5258413217343332"
"08/07/2024 19:43:05.699","65.430278488628260902","1880","3483.4056029053890597"
"08/07/2024 19:43:07.037","74.895342301797526829","1883","3601.1568495358865221"
"08/07/2024 19:43:08.371","85.213590211358749116","1886","3219.615971306861411"
"08/07/2024 19:43:09.633","67.039860228894838201","1890","2969.4187339410182176"
"08/07/2024 19:43:10.975","60.987543665070234056","1885","6703.4307949326257585"
"08/07/2024 19:43:12.284","65.082965080535572611","1885","7136.9131665900895314"
"08/07/2024 19:43:13.567","56.000436212530914304","1887","7080.8135205402859356"
"08/07/2024 19:43:14.886","45.809223588709571118","1887","7597.6484407356547308"
"08/07/2024 19:43:16.124","55.354540989322828182","1862","6073.9241449655200995"
"08/07/2024 19:43:17.334","43.319584897897897235","1859","7572.6700235331227304"
"08/07/2024 19:43:18.468","46.775095092411390851","1859","4250.8032429825179861"
"08/07/2024 19:43:19.664","51.992324707254269356","1859","4071.8120657259232757"
"08/07/2024 19:43:20.857","42.533548094788429239","1858","5554.3738441178702487"
"08/07/2024 19:43:22.028","52.965217588087533329","1887","6790.5540010651020566"
"08/07/2024 19:43:23.199","64.642411549563476569","1906","9046.8849502396169555"
"08/07/2024 19:43:24.400","59.679218475662601406","1910","9431.1124641723927198"
"08/07/2024 19:43:25.578","56.544958783758481502","1912","9609.4185921220396267"
"08/07/2024 19:43:26.743","39.811090929068328137","1865","3729.3524427309102975"
"08/07/2024 19:43:27.853","40.386793372718962303","1861","7183.3284159947979788"
"08/07/2024 19:43:28.935","47.48531927544139819","1862","7998.429828535505294"
"08/07/2024 19:43:29.995","34.353146531282810372","1861","7691.5969903473660452"
"08/07/2024 19:43:31.048","38.602822951720803246","1867","8334.0600628337379021"
"08/07/2024 19:43:32.119","59.531148208089035734","1867","4328.5238081034149218"
"08/07/2024 19:43:33.175","54.488976900490790456","1866","4322.0701680095389747"
"08/07/2024 19:43:34.230","44.671773105765289813","1864","5057.6496038056229736"
"08/07/2024 19:43:35.290","51.914086237124259071","1860","4280.4309248473891785"
"08/07/2024 19:43:36.375","45.818397210860858593","1860","4321.4059859381486604"
"08/07/2024 19:43:38.419","41.691546978114580213","1861","4871.4326344587962012"
"08/07/2024 19:43:39.382","48.111066394381218458","1866","7044.6210495930827165"
"08/07/2024 19:43:40.343","55.457496571065398427","1871","5728.9822770162218148"
"08/07/2024 19:43:41.309","55.527151582821986153","1879","6726.1906637716147088"
"08/07/2024 19:43:42.231","47.717705708634753137","1876","6995.3535164465511116"
"08/03/2024 22:51:56.381"," ","1879","6355.5744656062952345"
"08/03/2024 22:51:57.329","22.592265013305954824","1876","4998.9403981258619751"
"08/03/2024 22:51:58.274","24.286204376832955631","1873","7524.1616135868089259"
"08/03/2024 22:51:59.252","42.12158807031291019","1867","7095.7045962467991558"
"08/03/2024 22:52:00.225","44.995100339738556272","1867","3381.2386332489381857"
"08/07/2024 19:43:37.951","99.999851016964342421","1863","3706.05544498245672"
"08/07/2024 19:43:38.942","33.564182077695228656","1864","8193.9146257787124341"
"08/07/2024 19:43:39.949","26.538357907899335686","1864","5302.7248327128354504"
"08/07/2024 19:43:40.962","30.153219468034109241","1860","5998.9181497601175579"
"08/07/2024 19:43:41.962","30.883176922185697322","1860","6090.8200325738571337"
"08/07/2024 19:43:42.960","34.07941820302862368","1852","6558.3537909673777904"
"08/07/2024 19:43:43.946","34.018804300972291799","1851","7476.2150167958734528"
"08/07/2024 19:43:44.947","24.092333797845078891","1827","6436.0072780923528626"
"08/07/2024 19:43:45.965","48.402055548037125732","1823","7762.4022128016049464"
"08/07/2024 19:43:46.950","51.035028259138790929","1824","5339.1212919054678423"
"08/07/2024 19:43:48.033","46.607654714508306881","1822","9563.6666814775107923"
"08/07/2024 19:43:49.127","44.985715147979000506","1823","8498.4252007806626352"
